month,region,product_line,revenue,conversion_rate,churn_rate,new_customers,customer_retention,support_tickets
2023-01,Americas,Enterprise,204700,18.3,1.7,47,98.4,10
2023-01,Americas,SMB,123200,12.6,3.4,65,96.8,14
2023-01,Americas,Consumer,75300,7.0,5.9,155,94.1,50
2023-01,EMEA,Enterprise,178700,18.3,2.0,33,97.9,10
2023-01,EMEA,SMB,106900,12.9,3.2,65,97.0,13
2023-01,EMEA,Consumer,60300,7.6,5.8,129,94.0,40
2023-01,APAC,Enterprise,143500,17.5,2.0,32,98.0,10
2023-01,APAC,SMB,82300,11.8,3.1,43,97.0,10
2023-01,APAC,Consumer,49400,6.6,5.7,106,94.4,41
2023-01,LATAM,Enterprise,94700,16.7,1.6,13,98.3,10
2023-01,LATAM,SMB,58800,11.7,3.4,38,96.5,12
2023-01,LATAM,Consumer,32100,5.9,5.7,69,94.4,30
2023-02,Americas,Enterprise,208400,18.5,1.9,50,98.1,10
2023-02,Americas,SMB,118600,12.7,3.4,71,96.7,22
2023-02,Americas,Consumer,76800,7.0,6.1,152,93.9,41
2023-02,EMEA,Enterprise,171800,18.9,1.9,29,98.1,10
2023-02,EMEA,SMB,106900,13.0,3.6,51,96.3,16
2023-02,EMEA,Consumer,59500,7.4,5.6,124,94.3,37
2023-02,APAC,Enterprise,141700,17.8,2.0,29,98.1,10
2023-02,APAC,SMB,85900,12.4,3.2,51,96.7,10
2023-02,APAC,Consumer,49700,6.8,5.9,102,94.1,30
2023-02,LATAM,Enterprise,91800,17.0,2.0,15,97.9,10
2023-02,LATAM,SMB,58500,12.0,3.1,26,96.9,11
2023-02,LATAM,Consumer,33100,6.0,5.7,69,94.3,29
2023-03,Americas,Enterprise,209800,18.9,1.7,40,98.2,10
2023-03,Americas,SMB,127400,13.5,3.3,65,96.7,10
2023-03,Americas,Consumer,78500,7.7,5.6,156,94.5,49
2023-03,EMEA,Enterprise,178700,19.7,1.9,33,98.3,10
2023-03,EMEA,SMB,104900,12.9,3.6,60,96.4,18
2023-03,EMEA,Consumer,61500,7.2,5.5,132,94.5,37
2023-03,APAC,Enterprise,149800,17.9,2.0,28,98.2,10
2023-03,APAC,SMB,88500,12.0,3.1,49,96.9,10
2023-03,APAC,Consumer,49500,7.5,5.7,114,94.2,24
2023-03,LATAM,Enterprise,100900,17.3,2.0,25,97.8,10
2023-03,LATAM,SMB,58900,11.4,3.3,32,96.9,16
2023-03,LATAM,Consumer,33000,7.0,5.7,83,94.3,32
2023-04,Americas,Enterprise,208200,19.0,1.5,51,98.6,10
2023-04,Americas,SMB,121500,13.3,3.0,70,97.0,20
2023-04,Americas,Consumer,75800,8.0,5.4,160,94.7,49
2023-04,EMEA,Enterprise,175700,18.3,1.9,38,98.2,10
2023-04,EMEA,SMB,104000,13.1,3.3,55,96.5,16
2023-04,EMEA,Consumer,58000,7.3,5.8,127,94.3,45
2023-04,APAC,Enterprise,142500,17.2,2.0,23,97.8,10
2023-04,APAC,SMB,83900,12.5,3.5,48,96.3,10
2023-04,APAC,Consumer,50200,7.1,5.7,113,94.1,23
2023-04,LATAM,Enterprise,98600,16.3,1.8,13,98.0,10
2023-04,LATAM,SMB,56500,11.5,3.1,37,96.9,10
2023-04,LATAM,Consumer,33000,6.3,5.7,79,94.1,14
2023-05,Americas,Enterprise,207300,18.4,1.3,46,98.6,10
2023-05,Americas,SMB,122800,13.1,3.2,63,97.0,21
2023-05,Americas,Consumer,78900,7.5,5.8,153,94.2,41
2023-05,EMEA,Enterprise,177000,19.1,1.8,43,98.1,10
2023-05,EMEA,SMB,102700,12.5,3.4,58,96.4,14
2023-05,EMEA,Consumer,57500,8.0,5.9,134,93.9,48
2023-05,APAC,Enterprise,143400,17.4,1.5,35,98.3,11
2023-05,APAC,SMB,86900,11.7,3.4,56,96.8,17
2023-05,APAC,Consumer,48300,7.2,5.6,115,94.5,27
2023-05,LATAM,Enterprise,94600,16.0,1.5,27,98.4,10
2023-05,LATAM,SMB,58400,11.3,3.5,40,96.5,10
2023-05,LATAM,Consumer,33500,6.2,5.9,67,94.2,22
2023-06,Americas,Enterprise,211900,18.3,1.7,42,98.3,10
2023-06,Americas,SMB,119200,13.2,2.9,70,96.9,18
2023-06,Americas,Consumer,77900,7.7,5.5,160,94.7,43
2023-06,EMEA,Enterprise,177400,18.9,1.7,33,98.4,10
2023-06,EMEA,SMB,103500,12.7,3.0,66,97.0,15
2023-06,EMEA,Consumer,59800,7.6,5.5,121,94.5,34
2023-06,APAC,Enterprise,148400,17.1,1.7,29,98.3,10
2023-06,APAC,SMB,85400,12.4,3.4,43,96.7,11
2023-06,APAC,Consumer,49400,6.7,5.8,113,94.1,29
2023-06,LATAM,Enterprise,96200,15.7,1.4,25,98.6,10
2023-06,LATAM,SMB,57600,11.5,3.0,33,96.9,10
2023-06,LATAM,Consumer,32800,6.0,5.8,67,94.1,21
2023-07,Americas,Enterprise,199400,18.4,2.1,39,98.1,14
2023-07,Americas,SMB,116700,12.8,3.8,69,96.0,24
2023-07,Americas,Consumer,75800,7.4,6.2,157,93.8,53
2023-07,EMEA,Enterprise,178400,18.1,2.0,31,98.1,10
2023-07,EMEA,SMB,102200,12.5,3.7,50,96.4,10
2023-07,EMEA,Consumer,55500,7.0,6.1,120,94.0,46
2023-07,APAC,Enterprise,147500,15.9,2.0,28,98.0,10
2023-07,APAC,SMB,82700,12.0,3.7,54,96.2,16
2023-07,APAC,Consumer,47100,6.0,6.0,112,93.9,45
2023-07,LATAM,Enterprise,95100,16.0,2.1,14,97.9,10
2023-07,LATAM,SMB,55900,10.4,3.6,31,96.3,10
2023-07,LATAM,Consumer,31300,5.9,6.1,69,94.1,25
2023-08,Americas,Enterprise,196100,17.7,2.4,35,97.6,10
2023-08,Americas,SMB,100000,12.1,5.3,52,94.7,36
2023-08,Americas,Consumer,56000,6.6,8.5,116,91.5,108
2023-08,EMEA,Enterprise,174300,17.9,2.7,42,97.2,10
2023-08,EMEA,SMB,84900,11.9,4.9,42,95.0,18
2023-08,EMEA,Consumer,43700,7.5,8.6,92,91.4,84
2023-08,APAC,Enterprise,148200,16.7,2.4,27,97.8,12
2023-08,APAC,SMB,74500,11.2,5.2,38,95.0,24
2023-08,APAC,Consumer,35600,6.9,9.0,70,91.0,92
2023-08,LATAM,Enterprise,96700,15.2,2.6,19,97.5,10
2023-08,LATAM,SMB,49900,11.2,4.9,25,94.9,20
2023-08,LATAM,Consumer,24400,6.2,9.0,46,90.8,61
2023-09,Americas,Enterprise,214000,18.4,1.9,41,98.0,14
2023-09,Americas,SMB,124100,12.4,3.8,70,96.3,18
2023-09,Americas,Consumer,76000,7.0,6.2,152,93.9,59
2023-09,EMEA,Enterprise,180800,18.8,2.1,29,98.0,15
2023-09,EMEA,SMB,101900,13.2,3.6,62,96.3,16
2023-09,EMEA,Consumer,58100,7.9,5.7,131,94.4,36
2023-09,APAC,Enterprise,155500,16.9,2.0,35,98.0,10
2023-09,APAC,SMB,88100,11.6,3.4,46,96.8,10
2023-09,APAC,Consumer,49400,7.2,5.8,111,94.3,40
2023-09,LATAM,Enterprise,103800,16.2,1.8,15,98.4,10
2023-09,LATAM,SMB,57500,10.8,3.6,41,96.5,10
2023-09,LATAM,Consumer,32900,6.2,6.2,79,93.8,26
2023-10,Americas,Enterprise,227400,19.3,1.3,55,98.9,10
