month,region,product_line,revenue,conversion_rate,churn_rate,new_customers,customer_retention,support_tickets
2024-01,North,Enterprise,320000,24.5,3.2,145,96.8,312
2024-01,North,SMB,185000,18.3,4.8,98,95.2,198
2024-01,North,Consumer,95000,12.1,6.5,210,93.5,445
2024-01,South,Enterprise,275000,22.8,3.5,128,96.5,287
2024-01,South,SMB,162000,17.5,5.1,87,94.9,172
2024-01,South,Consumer,88000,11.8,7.2,195,92.8,412
2024-01,East,Enterprise,298000,23.5,3.3,136,96.7,301
2024-01,East,SMB,175000,18.0,4.9,93,95.1,188
2024-01,East,Consumer,91000,11.9,6.8,202,93.2,428
2024-01,West,Enterprise,310000,24.1,3.1,141,96.9,305
2024-01,West,SMB,180000,18.2,4.7,96,95.3,192
2024-01,West,Consumer,93000,12.0,6.6,208,93.4,438
2024-02,North,Enterprise,335000,25.1,3.0,152,97.0,298
2024-02,North,SMB,192000,18.8,4.5,103,95.5,185
2024-02,North,Consumer,98000,12.4,6.3,218,93.7,425
2024-02,South,Enterprise,288000,23.2,3.3,133,96.7,272
2024-02,South,SMB,168000,17.9,4.9,91,95.1,162
2024-02,South,Consumer,91000,12.1,7.0,201,93.0,395
2024-02,East,Enterprise,312000,24.0,3.1,142,96.9,285
2024-02,East,SMB,182000,18.4,4.7,97,95.3,178
2024-02,East,Consumer,94000,12.2,6.6,208,93.4,410
2024-02,West,Enterprise,325000,24.7,2.9,148,97.1,290
2024-02,West,SMB,188000,18.6,4.5,101,95.5,182
2024-02,West,Consumer,96000,12.3,6.4,214,93.6,422
2024-03,North,Enterprise,348000,25.8,2.8,158,97.2,282
2024-03,North,SMB,198000,19.2,4.3,108,95.7,172
2024-03,North,Consumer,102000,12.7,6.1,225,93.9,408
2024-03,South,Enterprise,301000,23.8,3.1,138,96.9,258
2024-03,South,SMB,175000,18.3,4.7,95,95.3,155
2024-03,South,Consumer,94000,12.4,6.8,208,93.2,378
2024-03,East,Enterprise,326000,24.5,2.9,148,97.1,268
2024-03,East,SMB,189000,18.9,4.5,102,95.5,168
2024-03,East,Consumer,97000,12.5,6.4,215,93.6,392
2024-03,West,Enterprise,340000,25.3,2.7,154,97.3,275
2024-03,West,SMB,195000,19.0,4.3,105,95.7,172
2024-03,West,Consumer,99000,12.6,6.2,220,93.8,405
2024-04,North,Enterprise,362000,26.2,2.7,164,97.3,268
2024-04,North,SMB,205000,19.6,4.1,112,95.9,162
2024-04,North,Consumer,106000,13.0,5.9,232,94.1,390
2024-04,South,Enterprise,315000,24.3,2.9,144,97.1,245
2024-04,South,SMB,182000,18.7,4.5,99,95.5,148
2024-04,South,Consumer,98000,12.7,6.5,215,93.5,362
2024-04,East,Enterprise,341000,25.0,2.8,154,97.2,255
2024-04,East,SMB,196000,19.3,4.3,106,95.7,158
2024-04,East,Consumer,101000,12.8,6.2,222,93.8,375
2024-04,West,Enterprise,355000,25.8,2.6,160,97.4,262
2024-04,West,SMB,202000,19.4,4.1,109,95.9,162
2024-04,West,Consumer,103000,12.9,6.0,228,94.0,388
2024-05,North,Enterprise,378000,26.8,2.5,171,97.5,255
2024-05,North,SMB,212000,20.0,3.9,116,96.1,152
2024-05,North,Consumer,110000,13.3,5.7,240,94.3,372
2024-05,South,Enterprise,329000,24.8,2.8,150,97.2,232
2024-05,South,SMB,189000,19.1,4.3,103,95.7,140
2024-05,South,Consumer,102000,13.0,6.3,222,93.7,348
2024-05,East,Enterprise,356000,25.5,2.6,161,97.4,242
2024-05,East,SMB,203000,19.7,4.1,110,95.9,148
2024-05,East,Consumer,105000,13.1,6.0,230,94.0,358
2024-05,West,Enterprise,371000,26.3,2.4,167,97.6,248
2024-05,West,SMB,210000,19.8,3.9,113,96.1,152
2024-05,West,Consumer,107000,13.2,5.8,235,94.2,370
2024-06,North,Enterprise,395000,27.5,2.4,178,97.6,242
2024-06,North,SMB,220000,20.4,3.7,121,96.3,142
2024-06,North,Consumer,114000,13.6,5.5,248,94.5,355
2024-06,South,Enterprise,344000,25.4,2.6,156,97.4,220
2024-06,South,SMB,197000,19.5,4.1,108,95.9,132
2024-06,South,Consumer,106000,13.3,6.1,230,93.9,335
2024-06,East,Enterprise,372000,26.1,2.5,168,97.5,230
2024-06,East,SMB,211000,20.1,3.9,115,96.1,138
2024-06,East,Consumer,109000,13.4,5.8,238,94.2,342
2024-06,West,Enterprise,388000,26.9,2.3,175,97.7,235
2024-06,West,SMB,218000,20.2,3.7,119,96.3,142
2024-06,West,Consumer,111000,13.5,5.6,243,94.4,355
2024-07,North,Enterprise,412000,28.1,2.3,185,97.7,228
2024-07,North,SMB,228000,20.8,3.5,126,96.5,132
2024-07,North,Consumer,118000,13.9,5.3,257,94.7,338
2024-07,South,Enterprise,359000,26.0,2.5,163,97.5,208
2024-07,South,SMB,205000,19.9,3.9,113,96.1,125
2024-07,South,Consumer,110000,13.6,5.9,238,94.1,318
2024-07,East,Enterprise,388000,26.7,2.3,175,97.7,218
2024-07,East,SMB,219000,20.5,3.7,120,96.3,128
2024-07,East,Consumer,113000,13.7,5.6,246,94.4,325
2024-07,West,Enterprise,405000,27.5,2.1,183,97.9,222
2024-07,West,SMB,226000,20.6,3.5,124,96.5,132
2024-07,West,Consumer,115000,13.8,5.4,252,94.6,338
2024-08,North,Enterprise,428000,28.7,2.2,192,97.8,215
2024-08,North,SMB,236000,21.2,3.3,131,96.7,122
2024-08,North,Consumer,122000,14.2,5.1,265,94.9,322
2024-08,South,Enterprise,374000,26.6,2.3,170,97.7,198
2024-08,South,SMB,213000,20.3,3.7,118,96.3,118
2024-08,South,Consumer,114000,13.9,5.7,246,94.3,302
2024-08,East,Enterprise,404000,27.3,2.1,182,97.9,208
2024-08,East,SMB,227000,20.9,3.5,125,96.5,118
2024-08,East,Consumer,117000,14.0,5.4,254,94.6,308
2024-08,West,Enterprise,422000,28.1,1.9,190,98.1,212
2024-08,West,SMB,234000,21.0,3.3,129,96.7,122
2024-08,West,Consumer,119000,14.1,5.2,260,94.8,322
2024-09,North,Enterprise,445000,29.3,2.1,199,97.9,202
2024-09,North,SMB,244000,21.6,3.1,136,96.9,112
2024-09,North,Consumer,126000,14.5,4.9,273,95.1,305
2024-09,South,Enterprise,389000,27.2,2.2,177,97.8,188
2024-09,South,SMB,221000,20.7,3.5,123,96.5,108
2024-09,South,Consumer,118000,14.2,5.5,254,94.5,288
2024-09,East,Enterprise,420000,27.9,2.0,189,98.0,198
2024-09,East,SMB,235000,21.3,3.3,130,96.7,108
2024-09,East,Consumer,121000,14.3,5.2,262,94.8,292
2024-09,West,Enterprise,439000,28.7,1.8,197,98.2,202
2024-09,West,SMB,242000,21.4,3.1,134,96.9,112
2024-09,West,Consumer,123000,14.4,5.0,268,95.0,305
2024-10,North,Enterprise,462000,29.9,2.0,206,98.0,192
2024-10,North,SMB,252000,22.0,2.9,141,97.1,105
2024-10,North,Consumer,130000,14.8,4.7,281,95.3,290
2024-10,South,Enterprise,404000,27.8,2.1,184,97.9,178
2024-10,South,SMB,229000,21.1,3.3,128,96.7,102
2024-10,South,Consumer,122000,14.5,5.3,262,94.7,275
2024-10,East,Enterprise,436000,28.5,1.9,196,98.1,188
2024-10,East,SMB,243000,21.7,3.1,135,96.9,102
2024-10,East,Consumer,125000,14.6,5.0,270,95.0,278
2024-10,West,Enterprise,456000,29.3,1.7,204,98.3,192
2024-10,West,SMB,250000,21.8,2.9,139,97.1,105
2024-10,West,Consumer,127000,14.7,4.8,276,95.2,290
2024-11,North,Enterprise,480000,30.5,1.9,214,98.1,182
2024-11,North,SMB,261000,22.4,2.7,147,97.3,98
2024-11,North,Consumer,135000,15.1,4.5,290,95.5,275
2024-11,South,Enterprise,420000,28.4,1.9,191,98.1,168
2024-11,South,SMB,237000,21.5,3.1,133,96.9,95
2024-11,South,Consumer,126000,14.8,5.1,270,94.9,262
2024-11,East,Enterprise,452000,29.1,1.8,203,98.2,178
2024-11,East,SMB,251000,22.1,2.9,140,97.1,95
2024-11,East,Consumer,129000,14.9,4.8,278,95.2,265
2024-11,West,Enterprise,473000,29.9,1.6,211,98.4,182
2024-11,West,SMB,259000,22.2,2.7,145,97.3,98
2024-11,West,Consumer,131000,15.0,4.6,284,95.4,275
2024-12,North,Enterprise,498000,31.1,1.8,221,98.2,172
2024-12,North,SMB,270000,22.8,2.5,152,97.5,92
2024-12,North,Consumer,140000,15.4,4.3,299,95.7,260
2024-12,South,Enterprise,436000,29.0,1.8,198,98.2,158
2024-12,South,SMB,245000,21.9,2.9,138,97.1,88
2024-12,South,Consumer,130000,15.1,4.9,278,95.1,248
2024-12,East,Enterprise,468000,29.7,1.7,210,98.3,168
2024-12,East,SMB,259000,22.5,2.7,145,97.3,88
2024-12,East,Consumer,133000,15.2,4.6,286,95.4,252
2024-12,West,Enterprise,490000,30.5,1.5,218,98.5,172
2024-12,West,SMB,268000,22.6,2.5,152,97.5,92
2024-12,West,Consumer,135000,15.3,4.4,292,95.6,260
